PaperID,Model-Focused Only,Tool/Platform-Focused,Real-World Case Study or Application,Mentions Human/User Factors,Primary Focus on Cost Estimation
541,Yes || Proposes a fuzzy decision making system and COCOMO II-based model for cost estimation with artificial intelligence methods.,No || Not mentioned or unclear.,Yes || Analyzes specific cases and actual construction of digital government in China.,No || Not mentioned or unclear.,Yes.
542,Yes || Proposes and tests ANN models for cost prediction with simulation results showing 97-98% accuracy.,No || Not mentioned or unclear.,Yes || Uses real cost and design data from 104 construction projects in Jordan over five years.,No || Not mentioned or unclear.,Yes
543,No || The paper analyzes correlation patterns in ERP data but does not propose or test AI/ML models for prediction.,No || Focuses on analyzing existing ERP systems rather than describing software tools or platforms for cost estimation.,Yes || Uses actual CSR data from construction and operation of ERP systems in SMEs to analyze customization impacts.,No || Does not discuss user interaction with cost estimation tools or human factors in adoption.,No || Primary focus is on ERP customization impact analysis with cost estimation as a secondary consideration for maintenance costs.
544,Yes || Proposes multiple ML methods including MLR, KNN, ANN, SVM," and ensemble methods for construction applications.,Yes || Describes a framework based on CRISP-DM for delay mitigation implementation.,Yes || Framework was implemented with relevant data and validated through interviews with professional experts.,Yes || Conducted interviews with professional experts to validate the framework's applicability and practicality.,No || Primary focus is on construction delay mitigation with cost estimation as one of three key application areas."
545,No || The paper focuses on structural design and foundation concepts rather than AI/ML models for cost prediction.,Yes || Mentions integration of cost estimation tools and models into the HOLISHIP concept design platform based on CAESES®.,Yes || Includes a real-world application case for the Northeast Caspian Sea with actual project cost estimates for construction and installation.,No || Not mentioned or unclear.,No || Cost estimation is mentioned as part of the broader foundation design study but is not the primary focus.
546,No || The paper focuses on wastewater treatment system comparison rather than proposing AI/ML models.,No || Not mentioned or unclear.,Yes || Uses actual daily annual data from a meat processing unit to simulate and compare different treatment systems.,No || Not mentioned or unclear.,No || Cost estimation is secondary to wastewater treatment system evaluation and selection.
547,No || The paper identifies factors for cost estimation but does not propose or test specific AI/ML models.,Yes || Discusses existing loss assessment tools (HAZUS PACT SLAT) and proposes upgrading them for post-earthquake repair cost estimation.,Yes || Conducted 18 semi-structured interviews with professionals involved in housing repair work in New Zealand.,Yes || Conducted interviews with professionals and discusses information sources and factors professionals need to consider.,Yes
548,Yes || Proposes a hybrid model combining SVR and GWO algorithm for probabilistic interval estimation with simulation results and performance metrics.,No || Not mentioned or unclear.,Yes || Includes case results with specific performance metrics (95% confidence level with CWC of 2.17 and PICC of 93.33%).,No || Not mentioned or unclear.,Yes
549,No || The paper uses finite element modeling for structural analysis rather than AI/ML cost prediction models.,No || Not mentioned or unclear.,No || The study appears to be experimental/analytical research without implementation in actual construction projects.,No || Not mentioned or unclear.,No || The paper focuses primarily on structural behavior comparison of masonry units with cost estimation as a secondary component.
550,Yes || Proposes SVR models for cost prediction and compares with BPNN and Random Forest models focusing on algorithmic improvements and accuracy.,No || Not mentioned or unclear.,Yes || Case study performed on 84 residential projects in Chongqing China with real project data.,No || Not mentioned or unclear.,Yes
551,Yes || Proposes using Artificial Neural Networks (ANNs) for optimization with focus on algorithmic improvements and weight optimization techniques.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Cost estimation is mentioned as one of several ANN applications but the primary focus is on optimization techniques for prefabricated construction.
552,Yes || Develops AI/ML algorithms for various prediction tasks including cost estimation and risk forecasting.,Yes || Describes EMAP as a cloud-based integrated analysis platform with multiple modules for EPC project management.,Yes || Validates each module through case studies to assure performance and accuracy.,Yes || Mentions supporting decision-making processes and preventing errors by project managers.,No || Cost estimation is only one of five modules; the paper focuses broadly on EPC project management solutions.
